Rank;Tier;Username;Join Date;Gold Medals;Silver Medals;Bronze Medals;Points
1;grandmaster;Dieter;2018;26;10;3;278218
2;grandmaster;bestfitting;2017;35;10;1;219575
3;grandmaster;Psi;2012;23;7;0;190065
4;grandmaster;Guanshuo Xu;2016;22;19;2;170062
5;grandmaster;Ilu;2019;12;6;3;125822
6;grandmaster;Ahmet Erdem;2016;19;23;4;116410
7;grandmaster;Qishen Ha;2016;15;8;2;115507
8;grandmaster;?????? ?????????? KazAnova;2013;41;58;42;113347
9;grandmaster;CPMP;2013;22;22;4;108400
10;grandmaster;nyanp;2018;5;6;2;107637
11;grandmaster;Giba;2013;58;47;31;100613
12;grandmaster;Selim Seferbekov;2016;11;3;1;98996
13;grandmaster;DungNB;2018;6;11;4;96240
14;grandmaster;nvnn;2019;9;5;4;96234
15;grandmaster;dott;2013;13;6;2;93924
16;grandmaster;Bo;2017;15;8;4;92679
17;grandmaster;YoonSoo;2018;5;6;0;92226
18;grandmaster;Limerobot;2018;11;5;1;91193
19;master;Tim Riggins;2019;2;5;4;90102
20;grandmaster;tascj;2015;6;8;2;89866
21;grandmaster;Chris Deotte;2018;14;13;8;88358
22;grandmaster;sheep;2017;8;10;4;87465
23;grandmaster;takuoko;2017;8;10;10;83125
24;grandmaster;Bojan Tunguz;2016;9;17;28;81654
25;master;Tom;2018;4;10;1;76759
26;master;KS;2018;4;15;3;76648
27;grandmaster;tito;2016;11;13;0;74363
28;grandmaster;Gary;2018;12;11;0;73614
29;grandmaster;SeungKee;2017;5;1;0;73323
30;grandmaster;Theo Viel;2018;9;12;3;72293
31;master;Nischay Dhankhar;2020;4;15;4;68141
32;master;Mathurin Aché;2012;6;35;46;66940
33;expert;Kirderf;2020;0;8;21;66885
34;grandmaster;Tom Van de Wiele;2016;7;1;0;66622
35;grandmaster;Kun Hao Yeh;2018;9;18;6;65951
36;master;Manuel Campos;2018;1;27;18;62888
37;master;Firas Baba;2018;2;9;1;62510
38;master;Darek K?eczek;2018;2;2;0;62004
39;grandmaster;nagiss;2019;5;5;0;61483
40;grandmaster;Ian Pan;2015;7;6;0;61166
41;master;Prateek;2019;3;15;3;58616
42;grandmaster;tereka;2015;7;21;4;58459
43;master;Shujun;2019;3;5;2;57145
44;master;Nanashi;2019;1;21;12;55453
45;expert;andrekos;2012;0;8;33;55268
46;grandmaster;ZFTurbo;2016;24;25;10;54973
47;master;LiamKirwin;2017;2;2;1;54022
48;grandmaster;sin;2020;5;7;6;53567
49;master;kibuna;2018;4;1;0;52815
50;grandmaster;Light;2017;7;12;5;52561
51;master;Random_prediction;2018;4;11;1;52283
52;master;avsanjay;2017;4;6;2;52103
53;master;Kramarenko Vladislav;2020;4;2;0;52036
54;master;KhanhVD;2019;2;18;8;51850
55;grandmaster;ONODERA;2015;9;13;4;51468
56;master;IsaiahP;2019;2;1;0;51121
57;master;Ph0921;2019;2;1;0;51011
58;grandmaster;Zidmie;2015;7;3;1;50907
59;grandmaster;tkm2261;2016;5;6;4;50779
60;grandmaster;Takoi;2016;6;6;2;50590
61;grandmaster;alijs;2017;9;16;11;50336
62;grandmaster;Young;2017;5;12;4;49984
63;master;Mohsin hasan;2015;4;14;8;49932
64;master;Mohammed Rizin V K;2020;3;5;1;49287
65;grandmaster;Rob Mulla;2016;5;13;9;48114
66;grandmaster;beluga;2012;14;11;12;48105
67;grandmaster;Mike Kim;2013;7;40;32;47120
68;master;fantastic_hirarin;2019;3;4;1;46535
69;master;Kha Vo;2018;8;8;0;46419
70;grandmaster;Dmytro Poplavskiy;2017;11;1;0;45635
71;master;Costas Voglis;2015;5;25;10;45320
72;expert;Nat Bel ML Fun;2016;0;12;21;45159
73;grandmaster;outrunner;2017;6;15;3;45013
74;grandmaster;Ouranos;2015;6;25;13;44854
75;master;Chun Ming Lee;2017;4;3;0;44686
76;master;Sergio Manuel Papadakis;2019;4;0;1;44467
77;master;poteman;2016;7;14;10;44351
78;grandmaster;YuryBolkonsky;2018;8;20;10;44157
79;grandmaster;R Guo;2020;5;7;1;43450
80;grandmaster;Vicens Gaitan;2015;5;23;14;43271
81;master;hirune924;2018;4;5;2;43076
82;master;Ilia Larchenko;2017;1;15;9;42869
83;master;Ulrich G.;2018;1;6;13;42666
84;grandmaster;Khoi Nguyen;2018;5;3;2;42482
85;master;datasaurus;2016;3;8;0;42221
86;grandmaster;lyakaap;2018;8;4;3;41941
87;master;Gilles Vandewiele;2016;4;3;2;41796
88;expert;Ray Melius;2019;0;7;10;41781
89;master;Isamu;2018;5;6;3;41628
90;master;kambehmw;2018;1;7;3;41541
91;master;Prashant Kikani;2018;1;2;16;41472
92;master;Jiayang Gao;2020;3;4;1;41067
93;master;?? Jun Koda;2017;3;2;1;40999
94;grandmaster;NguyenThanhNhan;2017;7;13;2;40672
95;grandmaster;Inoichan;2017;5;4;8;40453
96;master;See--;2017;3;15;6;40198
